states_uts,district,year,protection_of_civil_rights_act_1955,poa_murder,poa_attempt_to_commit_murder,poa_rape,poa_attempt_to_commit_rape,poa_assault_on_women_with_intent_to_outrage_her_modesty,poa_sexual_harassment,poa_assault_on_women_with_intent_to_disrobe,poa_voyeurism,poa_stalking,poa_other_sexual_harassment,poa_insult_to_the_modesty_of_women,poa_kidnapping_abduction_grandtotal,poa_kidnaping_abduction_total,poa_kidnaping_abduction_in_order_to_murder,poa_kidnapping_for_ransom,poa_kidnapping_abduction_of_women_to_compel_her_for_marriage,poa_other_kidnapping,poa_dacoity,poa_dacoity_with_murder,poa_other_dacoity,poa_robbery,poa_arson,poa_grievous_hurt,poa_hurt,poa_acid_attack,poa_attempt_to_acid_attack,poa_riots,poa_other_ipc_crimes,poa_sc_st_prevention_of_atrocities_act_only,total_of_sc_st_prevention_of_atrocities_act_1989,ipc_murder,ipc_attempt_to_commit_murder,ipc_rape,ipc_attempt_to_commit_rape,ipc_assault_on_women_with_intent_to_outrage_her_modesty,ipc_sexual_harassment,ipc_assault_on_women_with_intent_to_disrobe,ipc_voyeurism,ipc_stalking,ipc_other_sexual_harassment,ipc_insult_to_the_modesty_of_women,ipc_kidnapping_abduction,ipc_kidnaping_abduction,ipc_kidnaping_abduction_in_order_to_murder,ipc_kidnapping_for_ransom,ipc_kidnapping_abduction_of_women_to_compel_her_for_marriage,ipc_other_kidnapping,ipc_dacoity,ipc_dacoity_with_murder,ipc_other_dacoity,ipc_robbery,ipc_arson,ipc_grievous_hurt,ipc_hurt,ipc_acid_attack,ipc_attempt_to_acid_attack,ipc_riots,ipc_other_ipc_crimes,total_ipc_crimes_against_sts,manual_scavengers_and_construction_of_dry_latrines_p_act_1993,other_sll_crime_against_sts,total_crimes_against_sts
Assam,Total,2014,false,0,0,0,0,1,0,0,0,0,1,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,1,0,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,0,false,false,false,0,0,0,0,false,false,0,0,0,false,0,1
Bihar,Araria,2014,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,0,false,false,false,0,0,0,0,false,false,0,0,0,false,0,0
Bihar,Arwal,2014,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,0,false,false,false,0,0,0,0,false,false,0,0,0,false,0,0
Bihar,Aurangabad,2014,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,0,false,false,false,0,0,0,0,false,false,0,0,0,false,0,0
Bihar,Bagaha,2014,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,0,false,false,false,0,0,0,0,false,false,0,0,0,false,0,0
Bihar,Banka,2014,false,0,2,0,0,1,0,1,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,3,3,false,false,1,5,0,12,0,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,0,false,false,false,0,0,0,0,false,false,0,0,0,false,0,12
Bihar,Begusarai,2014,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,0,false,false,false,0,0,0,0,false,false,0,0,0,false,0,0
Bihar,Bettiah,2014,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,0,false,false,false,0,0,0,0,false,false,0,0,0,false,0,0
Bihar,Bhabhua,2014,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,0,false,false,false,0,0,0,0,false,false,0,0,0,false,0,0
Bihar,Bhagalpur,2014,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,7,0,7,0,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,0,false,false,false,0,0,0,0,false,false,0,0,0,false,0,7
Bihar,Bhojpur,2014,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,0,0,0,false,0,0,0,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,false,false,0,0,false,false,false,0,0,0,0,false,false,0,0,0,false,0,0
